"","genotype","light","rep","plant","length","species"
"1024","moneymaker","shade",2,1,31.426,"S.lyc"
"1025","moneymaker","shade",2,2,35.71,"S.lyc"
"1026","moneymaker","shade",2,3,18.352,"S.lyc"
"1027","moneymaker","shade",2,4,26.282,"S.lyc"
"1028","moneymaker","shade",2,5,26.69,"S.lyc"
"1029","moneymaker","shade",2,6,27.592,"S.lyc"
"1030","moneymaker","shade",3,1,26.098,"S.lyc"
"1031","moneymaker","shade",3,2,30.254,"S.lyc"
"1032","moneymaker","shade",3,3,25.26,"S.lyc"
"1033","moneymaker","shade",3,4,30.588,"S.lyc"
"1034","moneymaker","shade",3,5,20.11,"S.lyc"
"1035","moneymaker","shade",3,6,28.705,"S.lyc"
"1120","phyB1B2","shade",2,1,22.94,"S.lyc"
"1121","phyB1B2","shade",2,2,39.049,"S.lyc"
"1122","phyB1B2","shade",2,3,37.695,"S.lyc"
"1123","phyB1B2","shade",2,4,22.841,"S.lyc"
"1124","phyB1B2","shade",2,5,26.458,"S.lyc"
"1125","phyB1B2","shade",2,6,28.529,"S.lyc"
"1126","phyB1B2","shade",2,7,28.147,"S.lyc"
"1127","phyB1B2","shade",2,8,46.1,"S.lyc"
"1128","phyB1B2","shade",1,1,37.045,"S.lyc"
"1129","phyB1B2","shade",1,2,39.103,"S.lyc"
"1130","phyB1B2","shade",1,3,34.488,"S.lyc"
"1131","phyB1B2","shade",1,4,31.325,"S.lyc"
"1132","phyB1B2","shade",1,5,46.055,"S.lyc"
"1133","phyB1B2","shade",1,6,36.751,"S.lyc"
"1134","phyB1B2","shade",1,7,40.387,"S.lyc"
"1135","phyB1B2","shade",1,8,25.712,"S.lyc"
"1136","phyB1B2","shade",3,1,28.71,"S.lyc"
"1137","phyB1B2","shade",3,2,37.365,"S.lyc"
"1138","phyB1B2","shade",3,3,23.197,"S.lyc"
"1139","phyB1B2","shade",3,4,34.374,"S.lyc"
"1140","phyB1B2","shade",3,5,40.162,"S.lyc"
"1141","phyB1B2","shade",3,6,37.408,"S.lyc"
"1142","phyB1B2","shade",1,1,34.698,"S.lyc"
"1143","phyB1B2","shade",1,2,28.762,"S.lyc"
"1144","phyB1B2","shade",1,3,32.285,"S.lyc"
"1145","phyB1B2","shade",1,4,36.708,"S.lyc"
"1146","phyB1B2","shade",1,5,37.152,"S.lyc"
"1147","phyB1B2","shade",1,6,32.76,"S.lyc"
"1148","phyB1B2","shade",2,1,30.895,"S.lyc"
"1149","phyB1B2","shade",2,2,30.733,"S.lyc"
"1150","phyB1B2","shade",2,3,41.027,"S.lyc"
"1151","phyB1B2","shade",2,4,27.599,"S.lyc"
"1152","phyB1B2","shade",2,5,40.017,"S.lyc"
"1153","phyB1B2","shade",2,6,27.342,"S.lyc"
"1154","phyB1B2","shade",3,1,34.71,"S.lyc"
"1155","phyB1B2","shade",3,2,27.373,"S.lyc"
"1156","phyB1B2","shade",3,3,33.764,"S.lyc"
"1157","phyB1B2","shade",3,4,20.939,"S.lyc"
"1158","phyB1B2","shade",3,5,29.844,"S.lyc"
"1159","phyB1B2","shade",3,6,42.008,"S.lyc"
