plant,flat,position,genotype,treatment,date,week,day,petiole1,petiole2,petiole3,petiole4,internode1,internode2,internode3
97LB1,9,7,phyB1,shade,10/8/10,4,9,44.86,26.24,9.93,2.72,21.41,7.7,2.65
98LVF,9,8,VFNT Cherry,shade,10/8/10,4,9,45.29,39.01,21.45,12.53,20.66,13.25,7.14
11HB1,1,1,phyB1,sun,10/14/10,5,15,78.52,69.18,29.92,20.11,28.11,21.16,13.56
12H82,1,2,M82,sun,10/14/10,5,15,46.58,29.02,31.08,13.08,9.72,19.6,8.79
13HMM,1,3,Moneymaker,sun,10/14/10,5,15,55.95,39.07,22.52,16.44,19.33,13.06,5.03
14HVF,1,4,VFNT Cherry,sun,10/14/10,5,15,57.02,64.87,42.32,35.55,24.11,20.74,17.6
15HH2,1,5,HP2,sun,10/14/10,5,15,44.46,27.88,17.85,4.63,8.95,5.43,2.71
16H12,1,6,phyB2/phyB1,sun,10/14/10,5,15,74.14,48.78,33,10,29.6,19.04,9.01
17HTL,1,7,fel-1,sun,10/14/10,5,15,42.19,51.07,50.41,31.71,20.45,21.55,13.49
18HB2,1,8,phyB2,sun,10/14/10,5,15,76.8,48.76,36.11,21.49,16.6,11.97,6.58
101LB2,10,1,phyB2,shade,10/14/10,5,15,78.93,93.69,72.53,37.35,45.49,52.74,33.81
102LMM,10,2,Moneymaker,shade,10/14/10,5,15,76.2,66.16,36.73,28.79,43.2,42.23,16.33
103LH2,10,3,HP2,shade,10/14/10,5,15,62.49,48.5,38.26,10.89,24.13,21.37,6.34
104LB1,10,4,phyB1,shade,10/14/10,5,15,64.74,63.57,30.06,16.9,64.85,40.65,15.09
105LTL,10,5,fel-1,shade,10/14/10,5,15,48.16,46.47,62.7,58.85,48.7,60.45,26.52
106L12,10,6,phyB2/phyB1,shade,10/14/10,5,15,39.43,55.53,57.23,60.32,57.4,53.54,39.14
107L82,10,7,M82,shade,10/14/10,5,15,50.35,35.98,17.74,13.45,35.29,31.28,8.88
108LVF,10,8,VFNT Cherry,shade,10/14/10,5,15,47.93,49.62,65.21,43.57,23.75,28.56,20.4
21HMM,2,1,Moneymaker,sun,10/14/10,5,15,42.94,49.14,36.02,17.5,15.9,12.36,5.94
22H82,2,2,M82,sun,10/14/10,5,15,43.36,42.4,32.46,27.09,11.88,13.02,9.05
23H12,2,3,phyB2/phyB1,sun,10/14/10,5,15,55.62,42.99,36.36,14.53,20.69,19.63,10.22
24HB1,2,4,phyB1,sun,10/14/10,5,15,78.36,48.11,42.18,18.62,26.16,17.63,13.75
26HB2,2,6,phyB2,sun,10/14/10,5,15,68.71,39.01,33.45,22.24,21.96,17.76,9.06
26HVF,2,6,VFNT Cherry,sun,10/14/10,5,15,52.55,49.94,40.82,32.24,20.56,22.3,15.23
27HTL,2,7,fel-1,sun,10/14/10,5,15,46.52,50.67,44.16,23.8,18.44,19,9
28HH2,2,8,HP2,sun,10/14/10,5,15,31.81,19.29,8.96,3.25,6.69,4.11,1.71
32H82,3,2,M82,sun,10/14/10,5,15,49.12,40.24,17.35,14.36,17.3,23.17,4.99
33HMM,3,3,Moneymaker,sun,10/14/10,5,15,59.24,58.83,27.94,20.68,23.57,16.17,7.53
34HB1,3,4,phyB1,sun,10/14/10,5,15,63.42,64.34,43.12,19.1,31.83,24.11,11.44
35HB2,3,5,phyB2,sun,10/14/10,5,15,68.26,65.08,44.59,23.11,18.64,16.35,9.39
37HVF,3,7,VFNT Cherry,sun,10/14/10,5,15,51.47,60.17,39.2,37.55,21.77,21.23,15.39
38H12,3,8,phyB2/phyB1,sun,10/14/10,5,15,59.5,54.33,43.48,18.15,28.56,23.28,14.28
41HMM,4,1,Moneymaker,sun,10/14/10,5,15,74.79,39.83,32.99,12.29,15.19,9.87,6.03
42H82,4,2,M82,sun,10/14/10,5,15,46.11,32.58,30.54,15.69,11.81,13,7.3
43HB2,4,3,phyB2,sun,10/14/10,5,15,66.91,59.58,45.16,22.52,19.67,16.47,9.58
44HH2,4,4,HP2,sun,10/14/10,5,15,34.14,20.41,10.25,3.71,5.97,3.92,0.97
45HTL,4,5,fel-1,sun,10/14/10,5,15,42.96,40.3,45.02,33.77,20.79,20.79,11.63
46H12,4,6,phyB2/phyB1,sun,10/14/10,5,15,67.58,55.97,33.87,15.41,28.08,24.23,10.08
47HB1,4,7,phyB1,sun,10/14/10,5,15,62.07,50.74,35.56,16.96,24.76,16.46,9.11
48HVF,4,8,VFNT Cherry,sun,10/14/10,5,15,41.68,41.28,29.45,24.05,18.93,15.73,12.57
51HB2,5,1,phyB2,sun,10/14/10,5,15,61.64,53.6,22.81,18.05,22.26,18.46,7.99
52HMM,5,2,Moneymaker,sun,10/14/10,5,15,61.87,48.8,21.32,12.9,18.29,10.81,4.37
53HH2,5,3,HP2,sun,10/14/10,5,15,34.21,25.99,13.54,4.59,7.41,5.16,1.27
54HB1,5,4,phyB1,sun,10/14/10,5,15,60.62,40.18,45.99,22.69,31.23,24.07,15.12
56H12,5,6,phyB2/phyB1,sun,10/14/10,5,15,54.52,64.26,44.28,28.39,26.11,23.36,12.58
57H82,5,7,M82,sun,10/14/10,5,15,45.41,26.64,19.32,9.91,14.03,15.69,5.43
58HVF,5,8,VFNT Cherry,sun,10/14/10,5,15,41.81,44.71,54.18,32.64,18.48,21.4,12.92
61LB1,6,1,phyB1,shade,10/14/10,5,15,75.2,73.37,54.59,27.17,46.35,37.31,23.36
62L82,6,2,M82,shade,10/14/10,5,15,64.69,41.48,26.46,15.24,21.9,40.66,17.05
63LMM,6,3,Moneymaker,shade,10/14/10,5,15,57.48,52.24,51.66,34.51,24.15,17.42,12.6
64LVF,6,4,VFNT Cherry,shade,10/14/10,5,15,46.07,48.54,51.7,34.51,23.85,20.67,16.7
65LH2,6,5,HP2,shade,10/14/10,5,15,46.77,42.69,32.76,10.95,18.48,14.5,6.06
66L12,6,6,phyB2/phyB1,shade,10/14/10,5,15,58.76,60.13,40.52,15.37,56.39,37.22,16.02
67LTL,6,7,fel-1,shade,10/14/10,5,15,43.59,47.72,63.04,45.97,31.25,46.81,27.3
68LB2,6,8,phyB2,shade,10/14/10,5,15,59.4,55.55,40.18,21.27,32.79,25.4,13.5
71LMM,7,1,Moneymaker,shade,10/14/10,5,15,79.11,91.31,32.38,25.12,47.21,38.89,17.76
72L82,7,2,M82,shade,10/14/10,5,15,53.22,37.83,22.72,11.05,26.71,37.66,10.1
73L12,7,3,phyB2/phyB1,shade,10/14/10,5,15,62.09,55.56,60.09,28.11,50.33,56.74,29.82
74LB1,7,4,phyB1,shade,10/14/10,5,15,64.89,68.73,49.88,22.44,44.31,35.34,16.58
75LVF,7,5,VFNT Cherry,shade,10/14/10,5,15,54.84,57.35,76.34,55.46,26.68,33.46,19.72
76LB2,7,6,phyB2,shade,10/14/10,5,15,100.14,88.61,49.81,34.68,45.73,42.81,20.94
77LTL,7,7,fel-1,shade,10/14/10,5,15,43.78,41.54,42.59,21.84,25.87,28.01,15.49
78LH2,7,8,HP2,shade,10/14/10,5,15,52.37,46.85,26.59,8.18,15.56,9.85,4.93
81LH2,8,1,HP2,shade,10/14/10,5,15,49.61,46.94,32.54,11.67,34.09,19.57,7.43
82L82,8,2,M82,shade,10/14/10,5,15,81.17,59.25,26.06,21,26.53,45.7,17.82
83LMM,8,3,Moneymaker,shade,10/14/10,5,15,62.8,74.92,34.03,23.25,36.94,30.86,12.39
84LB1,8,4,phyB1,shade,10/14/10,5,15,74.14,69.19,45.88,21,40.6,69.82,17.79
85LB2,8,5,phyB2,shade,10/14/10,5,15,97.62,91.64,43.04,31.11,37.12,43.16,18.43
86LTL,8,6,fel-1,shade,10/14/10,5,15,44.62,48.65,65,42.35,29.38,38.82,26.49
87LVF,8,7,VFNT Cherry,shade,10/14/10,5,15,48.97,52.98,45,35.09,21.24,25.27,19.05
88L12,8,8,phyB2/phyB1,shade,10/14/10,5,15,64.67,57.39,50.47,33.37,51.18,40.46,19.72
91LMM,9,1,Moneymaker,shade,10/14/10,5,15,71.72,58.9,32.13,27.8,38.26,38.4,17.56
92L82,9,2,M82,shade,10/14/10,5,15,74.62,45.01,30.39,22.12,35.9,46.04,22.05
93LB2,9,3,phyB2,shade,10/14/10,5,15,68.31,90.81,64.1,31.49,45.25,45.81,23.5
94LH2,9,4,HP2,shade,10/14/10,5,15,52.05,56.99,37.05,33.23,29.07,22.34,4.27
96L12,9,6,phyB2/phyB1,shade,10/14/10,5,15,56.27,58.83,56.33,31.56,69.61,61.24,31.33
97LB1,9,7,phyB1,shade,10/14/10,5,15,60.5,72.24,49.17,24.92,64.09,47.1,22.71
98LVF,9,8,VFNT Cherry,shade,10/14/10,5,15,50.61,52.67,44.01,36.47,25.16,23.96,16.87
