genotype,light,rep,plant,length,species
phyE,shade,1,11,1.99,Ler
phyE,shade,1,12,2.499,Ler
phyD,shade,1,1,2.919,Ler
phyD,shade,1,2,3.767,Ler
phyD,shade,1,3,3.894,Ler
phyD,shade,1,4,3.388,Ler
phyD,shade,1,5,3.12,Ler
phyD,shade,1,6,4.827,Ler
phyD,shade,1,7,3.252,Ler
phyD,shade,1,8,3.079,Ler
phyD,shade,1,9,3.566,Ler
phyD,shade,1,10,4.02,Ler
phyD,shade,1,11,3.089,Ler
phyD,shade,1,12,2.371,Ler
phyD,shade,1,13,1.825,Ler
Ler,shade,1,1,3.81,Ler
Ler,shade,1,2,3.852,Ler
Ler,shade,1,3,2.921,Ler
Ler,shade,1,4,3.928,Ler
Ler,shade,1,5,1.693,Ler
Ler,shade,1,6,2.412,Ler
Ler,shade,1,7,2.709,Ler
Ler,shade,1,8,2.37,Ler
Ler,shade,1,9,2.793,Ler
Ler,shade,1,10,1.27,Ler
Ler,shade,1,11,1.989,Ler
Ler,shade,1,12,2.414,Ler
hy2,shade,1,1,10.626,Ler
hy2,shade,1,2,7.789,Ler
hy2,shade,1,3,8.553,Ler
hy2,shade,1,4,8.296,Ler
hy2,shade,1,5,7.409,Ler
hy2,shade,1,6,9.947,Ler
hy2,shade,1,7,1.693,Ler
hy2,shade,1,8,9.357,Ler
hy2,shade,1,9,7.959,Ler
hy2,shade,1,10,5.712,Ler
hy2,shade,1,11,9.483,Ler
hy2,shade,1,12,6.52,Ler
hy2,shade,1,13,7.832,Ler
hy2,shade,1,14,5.589,Ler
hy2,shade,1,15,4.952,Ler
hy2,shade,1,16,7.072,Ler
phyA,shade,1,1,6.224,Ler
phyA,shade,1,2,4.402,Ler
phyA,shade,1,3,4.064,Ler
phyA,shade,1,4,4.107,Ler
phyA,shade,1,5,3.81,Ler
phyA,shade,1,6,4.066,Ler
phyA,shade,1,7,4.487,Ler
phyA,shade,1,8,3.682,Ler
phyA,shade,1,9,2.414,Ler
phyA,shade,1,10,2.923,Ler
phyA,shade,1,11,4.235,Ler
phyA,shade,1,12,3.176,Ler
phyA,shade,1,13,1.607,Ler
phyA,shade,1,14,2.075,Ler
phyA,shade,1,15,1.862,Ler
phyA,shade,1,16,1.609,Ler
phyB,shade,1,1,2.974,Ler
phyB,shade,1,2,2.624,Ler
phyB,shade,1,3,2.288,Ler
phyB,shade,1,4,6.309,Ler
phyB,shade,1,5,3.64,Ler
phyB,shade,1,6,6.561,Ler
phyB,shade,1,7,3.134,Ler
phyB,shade,1,8,4.107,Ler
phyB,shade,1,9,3.302,Ler
phyB,shade,1,10,2.752,Ler
phyB,shade,1,11,3.853,Ler
phyB,shade,1,12,4.318,Ler
phyB,shade,1,13,2.879,Ler
phyB,shade,1,14,4.233,Ler
phyB,shade,1,15,2.2,Ler
phyB,shade,1,16,3.727,Ler
hy2,shade,2,1,10.288,Ler
hy2,shade,2,2,8.509,Ler
hy2,shade,2,3,10.076,Ler
hy2,shade,2,4,7.914,Ler
hy2,shade,2,5,10.246,Ler
hy2,shade,2,6,7.874,Ler
hy2,shade,2,7,8.002,Ler
hy2,shade,2,8,10.413,Ler
hy2,shade,2,9,9.398,Ler
hy2,shade,2,10,4.402,Ler
hy2,shade,2,11,11.854,Ler
hy2,shade,2,12,5.333,Ler
hy2,shade,2,13,11.178,Ler
hy2,shade,2,14,6.731,Ler
hy2,shade,2,15,4.615,Ler
hy2,shade,2,16,6.013,Ler
phyB,shade,2,1,2.709,Ler
phyB,shade,2,2,5.08,Ler
phyB,shade,2,3,5.041,Ler
phyB,shade,2,4,4.065,Ler
phyB,shade,2,5,4.614,Ler
phyB,shade,2,6,3.803,Ler
phyB,shade,2,7,4.825,Ler
phyB,shade,2,8,5.081,Ler
phyB,shade,2,9,4.108,Ler
phyB,shade,2,10,4.573,Ler
phyB,shade,2,11,5.23,Ler
phyB,shade,2,12,2.324,Ler
phyB,shade,2,13,2.751,Ler
phyB,shade,2,14,2.243,Ler
phyB,shade,2,15,3.514,Ler
phyB,shade,2,16,5.377,Ler
phyB,shade,2,17,2.794,Ler
phyA,shade,2,1,3.64,Ler
phyA,shade,2,2,4.487,Ler
phyA,shade,2,3,3.302,Ler
phyA,shade,2,4,3.26,Ler
phyA,shade,2,5,2.921,Ler
phyA,shade,2,6,1.904,Ler
phyA,shade,2,7,2.668,Ler
phyBD,shade,2,1,4.827,Ler
phyBD,shade,2,2,5.378,Ler
phyBD,shade,2,3,5.334,Ler
phyBD,shade,2,4,3.26,Ler
phyBD,shade,2,5,4.991,Ler
phyBD,shade,2,6,2.668,Ler
phyBD,shade,2,7,4.303,Ler
phyBD,shade,2,8,2.881,Ler
phyBD,shade,2,9,1.864,Ler
phyBD,shade,2,10,1.949,Ler
phyBD,shade,2,11,6.394,Ler
Ler,shade,2,1,4.321,Ler
Ler,shade,2,2,5.037,Ler
Ler,shade,2,3,3.43,Ler
Ler,shade,2,4,4.192,Ler
Ler,shade,2,5,3.182,Ler
Ler,shade,2,6,3.827,Ler
Ler,shade,2,7,3.01,Ler
Ler,shade,2,8,3.26,Ler
Ler,shade,2,9,4.15,Ler
Ler,shade,2,10,4.187,Ler
Ler,shade,2,11,3.218,Ler
Ler,shade,2,12,3.473,Ler
Ler,shade,2,13,2.92,Ler
Ler,shade,2,14,2.499,Ler
Ler,shade,2,15,3.429,Ler
Ler,shade,2,16,3.259,Ler
Ler,shade,2,17,3.26,Ler
phyE,shade,2,1,3.248,Ler
phyE,shade,2,2,4.274,Ler
phyE,shade,2,3,4.15,Ler
phyE,shade,2,4,2.964,Ler
phyE,shade,2,5,2.498,Ler
phyE,shade,2,6,4.193,Ler
phyE,shade,2,7,2.286,Ler
phyE,shade,2,8,2.793,Ler
phyE,shade,2,9,2.286,Ler
phyE,shade,2,10,2.625,Ler
phyE,shade,2,11,2.625,Ler
phyD,shade,2,1,3.471,Ler
phyD,shade,2,2,3.218,Ler
phyD,shade,2,3,4.107,Ler
phyD,shade,2,4,2.073,Ler
phyD,shade,2,5,3.895,Ler
phyD,shade,2,6,3.345,Ler
phyD,shade,2,7,4.615,Ler
phyD,shade,2,8,4.36,Ler
phyD,shade,2,9,3.767,Ler
phyD,shade,2,10,3.686,Ler
phyD,shade,2,11,1.313,Ler
phyD,shade,2,12,3.516,Ler
phyD,shade,2,13,2.49,Ler
phyBDE,shade,2,1,5.252,Ler
phyBDE,shade,2,2,3.218,Ler
phyBDE,shade,2,3,5.673,Ler
phyBDE,shade,2,4,5.715,Ler
phyBDE,shade,2,5,6.901,Ler
phyBDE,shade,2,6,4.995,Ler
phyBDE,shade,2,7,2.668,Ler
phyD,shade,3,1,4.063,Ler
phyD,shade,3,2,4.066,Ler
phyD,shade,3,3,4.177,Ler
phyD,shade,3,4,4.106,Ler
phyD,shade,3,5,3.921,Ler
phyD,shade,3,6,4.23,Ler
phyD,shade,3,7,5.166,Ler
phyD,shade,3,8,5.164,Ler
phyD,shade,3,9,4.996,Ler
phyD,shade,3,10,4.109,Ler
phyD,shade,3,11,4.192,Ler
phyD,shade,3,12,4.445,Ler
phyD,shade,3,13,4.53,Ler
phyD,shade,3,14,4.023,Ler
phyD,shade,3,15,3.939,Ler
phyBDE,shade,3,1,4.236,Ler
phyBDE,shade,3,2,5.758,Ler
phyBDE,shade,3,3,3.724,Ler
phyBDE,shade,3,4,6.013,Ler
phyBDE,shade,3,5,3.345,Ler
phyBDE,shade,3,6,4.275,Ler
phyBDE,shade,3,7,4.698,Ler
phyBDE,shade,3,8,5.928,Ler
phyBDE,shade,3,9,4.573,Ler
phyBDE,shade,3,10,5.842,Ler
phyBDE,shade,3,11,5.714,Ler
phyBDE,shade,3,12,5.545,Ler
phyBDE,shade,3,13,3.895,Ler
phyBDE,shade,3,14,3.431,Ler
phyBDE,shade,3,15,2.835,Ler
phyBDE,shade,3,16,2.88,Ler
phyBDE,shade,3,17,4.192,Ler
phyBDE,shade,3,18,2.919,Ler
hy2,shade,3,1,8.213,Ler
hy2,shade,3,2,8.764,Ler
hy2,shade,3,3,6.564,Ler
hy2,shade,3,4,9.487,Ler
hy2,shade,3,5,8.472,Ler
hy2,shade,3,6,7.58,Ler
hy2,shade,3,7,9.4,Ler
hy2,shade,3,8,9.142,Ler
hy2,shade,3,9,6.013,Ler
hy2,shade,3,10,5.759,Ler
hy2,shade,3,11,4.613,Ler
hy2,shade,3,12,6.648,Ler
phyBD,shade,3,1,6.011,Ler
phyBD,shade,3,2,4.615,Ler
phyBD,shade,3,3,4.656,Ler
phyBD,shade,3,4,4.785,Ler
phyBD,shade,3,5,4.405,Ler
phyBD,shade,3,6,4.403,Ler
phyBD,shade,3,7,2.54,Ler
phyBD,shade,3,8,4.573,Ler
phyBD,shade,3,9,4.53,Ler
phyBD,shade,3,10,4.786,Ler
phyBD,shade,3,11,2.828,Ler
phyB,shade,3,1,4.233,Ler
phyB,shade,3,2,4.109,Ler
phyB,shade,3,3,2.795,Ler
phyB,shade,3,4,4.065,Ler
phyB,shade,3,5,3.727,Ler
phyB,shade,3,6,2.709,Ler
phyB,shade,3,7,4.784,Ler
phyB,shade,3,8,3.47,Ler
phyB,shade,3,9,3.387,Ler
phyB,shade,3,10,4.826,Ler
phyB,shade,3,11,4.234,Ler
phyB,shade,3,12,3.26,Ler
phyB,shade,3,13,3.346,Ler
phyE,shade,3,1,3.471,Ler
phyE,shade,3,2,3.472,Ler
phyE,shade,3,3,5.207,Ler
phyE,shade,3,4,4.19,Ler
phyE,shade,3,5,4.362,Ler
phyE,shade,3,6,3.219,Ler
phyE,shade,3,7,3.768,Ler
phyE,shade,3,8,1.822,Ler
phyE,shade,3,9,2.71,Ler
phyE,shade,3,10,2.498,Ler
phyE,shade,3,11,3.852,Ler
phyE,shade,3,12,2.625,Ler
phyE,shade,3,13,3.471,Ler
phyE,shade,3,14,2.879,Ler
phyE,shade,3,15,3.936,Ler
Ler,shade,3,1,4.189,Ler
Ler,shade,3,2,3.937,Ler
Ler,shade,3,3,3.047,Ler
Ler,shade,3,4,4.147,Ler
Ler,shade,3,5,3.259,Ler
Ler,shade,3,6,3.092,Ler
Ler,shade,3,7,3.049,Ler
Ler,shade,3,8,4.405,Ler
Ler,shade,3,9,4.029,Ler
Ler,shade,3,10,3.643,Ler
Ler,shade,3,11,2.669,Ler
Ler,shade,3,12,2.879,Ler
Ler,shade,3,13,3.301,Ler
Ler,shade,3,14,3.093,Ler
Ler,shade,3,15,2.497,Ler
Ler,shade,3,16,3.851,Ler
Ler,shade,3,17,2.414,Ler
phyA,shade,3,1,3.855,Ler
phyA,shade,3,2,4.19,Ler
phyA,shade,3,3,5.421,Ler
phyA,shade,3,4,6.223,Ler
phyA,shade,3,5,5.59,Ler
phyA,shade,3,6,3.345,Ler
phyA,shade,3,7,3.429,Ler
phyA,shade,3,8,2.92,Ler
phyA,shade,3,9,3.937,Ler
phyA,shade,3,10,2.455,Ler
phyA,shade,3,11,3.176,Ler
phyA,shade,3,12,3.641,Ler
phyA,shade,3,13,2.582,Ler
phyAB1B2,sun,1,1,33.224,moneymaker
phyAB1B2,sun,1,2,62.403,moneymaker
phyAB1B2,sun,1,3,44.389,moneymaker
phyAB1B2,sun,1,4,20.37,moneymaker
phyAB1B2,sun,1,5,31.457,moneymaker
phyAB1B2,sun,1,6,49.376,moneymaker
phyAB1B2,sun,1,7,42.836,moneymaker
phyAB1B2,sun,1,8,71.374,moneymaker
phyAB1B2,sun,1,9,41.965,moneymaker
phyAB1B2,sun,2,1,42.609,moneymaker
phyAB1B2,sun,2,2,47.504,moneymaker
phyAB1B2,sun,2,3,38.461,moneymaker
phyAB1B2,sun,2,4,20.157,moneymaker
phyAB1B2,sun,2,5,23.256,moneymaker
phyAB1B2,sun,2,6,40.99,moneymaker
phyAB1B2,sun,2,7,59.604,moneymaker
phyAB1B2,sun,2,8,53.025,moneymaker
phyAB1B2,sun,2,9,41.271,moneymaker
phyAB1B2,sun,2,10,38.039,moneymaker
phyAB1B2,sun,3,1,39.617,moneymaker
phyAB1B2,sun,3,2,21.939,moneymaker
phyAB1B2,sun,3,3,28.903,moneymaker
phyAB1B2,sun,3,4,41.939,moneymaker
